,quote_date,expiration_C,strike,option_type_C,bid_1545_C,ask_1545_C,expiration_P,option_type_P,bid_1545_P,ask_1545_P,date,rate,implied_S_x,moneyness,implied_S_y
0,2018-01-12,2018-02-09,5400.0,C,1347.0,1368.3,2018-02-09,P,0.05,3.1,2018-01-12,0.0131,6750.221453203228,1350.2214532032276,6751.2330665040345
1,2018-01-12,2018-02-09,5500.0,C,1248.0,1269.0,2018-02-09,P,0.25,3.7,2018-01-12,0.0131,6750.563054188472,1250.563054188472,6751.2330665040345
2,2018-01-12,2018-02-09,5600.0,C,1151.6,1165.9,2018-02-09,P,0.65,4.2,2018-01-12,0.0131,6750.254655173717,1150.2546551737169,6751.2330665040345
3,2018-01-12,2018-02-09,5700.0,C,1052.4,1066.7,2018-02-09,P,1.7,4.3,2018-01-12,0.0131,6750.371256158963,1050.3712561589628,6751.2330665040345
4,2018-01-12,2018-02-09,5800.0,C,953.1,967.4,2018-02-09,P,2.4,5.1,2018-01-12,0.0131,6750.212857144207,950.2128571442072,6751.2330665040345
5,2018-01-12,2018-02-09,5900.0,C,854.5,868.8,2018-02-09,P,3.4,6.2,2018-01-12,0.0131,6750.454458129452,850.4544581294522,6751.2330665040345
6,2018-01-12,2018-02-09,6000.0,C,756.1,770.3,2018-02-09,P,4.7,7.5,2018-01-12,0.0131,6750.596059114697,750.5960591146968,6751.2330665040345
7,2018-01-12,2018-02-09,6025.0,C,731.5,745.7,2018-02-09,P,5.1,7.9,2018-01-12,0.0131,6750.568959361009,725.5689593610086,6751.2330665040345
8,2018-01-12,2018-02-09,6050.0,C,706.9,721.1,2018-02-09,P,5.5,8.3,2018-01-12,0.0131,6750.5418596073205,700.5418596073205,6751.2330665040345
9,2018-01-12,2018-02-09,6075.0,C,682.2,696.3,2018-02-09,P,5.9,8.6,2018-01-12,0.0131,6750.414759853631,675.414759853631,6751.2330665040345
10,2018-01-12,2018-02-09,6100.0,C,658.0,672.1,2018-02-09,P,6.4,9.0,2018-01-12,0.0131,6750.737660099942,650.7376600999423,6751.2330665040345
11,2018-01-12,2018-02-09,6125.0,C,633.6,647.7,2018-02-09,P,6.9,9.7,2018-01-12,0.0131,6750.710560346254,625.7105603462542,6751.2330665040345
12,2018-01-12,2018-02-09,6150.0,C,609.7,622.6,2018-02-09,P,7.5,10.3,2018-01-12,0.0131,6750.583460592565,600.5834605925647,6751.2330665040345
13,2018-01-12,2018-02-09,6175.0,C,585.4,598.3,2018-02-09,P,8.1,10.9,2018-01-12,0.0131,6750.656360838875,575.6563608388751,6751.2330665040345
14,2018-01-12,2018-02-09,6200.0,C,561.2,574.0,2018-02-09,P,8.7,11.4,2018-01-12,0.0131,6750.829261085188,550.8292610851877,6751.2330665040345
15,2018-01-12,2018-02-09,6225.0,C,537.1,549.8,2018-02-09,P,9.5,12.2,2018-01-12,0.0131,6750.852161331498,525.8521613314979,6751.2330665040345
16,2018-01-12,2018-02-09,6250.0,C,513.0,525.7,2018-02-09,P,10.3,13.2,2018-01-12,0.0131,6750.82506157781,500.8250615778097,6751.2330665040345
17,2018-01-12,2018-02-09,6275.0,C,489.3,501.9,2018-02-09,P,11.2,14.1,2018-01-12,0.0131,6751.147961824122,476.1479618241219,6751.2330665040345
18,2018-01-12,2018-02-09,6300.0,C,465.3,477.8,2018-02-09,P,12.3,15.2,2018-01-12,0.0131,6750.970862070432,450.9708620704323,6751.2330665040345
19,2018-01-12,2018-02-09,6325.0,C,441.6,454.0,2018-02-09,P,13.5,16.4,2018-01-12,0.0131,6750.993762316743,425.9937623167434,6751.2330665040345
20,2018-01-12,2018-02-09,6350.0,C,417.9,430.1,2018-02-09,P,14.8,17.8,2018-01-12,0.0131,6750.816662563055,400.8166625630547,6751.2330665040345
21,2018-01-12,2018-02-09,6360.0,C,410.2,419.0,2018-02-09,P,15.4,18.4,2018-01-12,0.0131,6750.805822661579,390.80582266157944,6751.2330665040345
22,2018-01-12,2018-02-09,6370.0,C,400.8,409.7,2018-02-09,P,15.2,19.0,2018-01-12,0.0131,6751.244982760103,381.2449827601031,6751.2330665040345
23,2018-01-12,2018-02-09,6375.0,C,395.8,405.3,2018-02-09,P,15.6,19.3,2018-01-12,0.0131,6751.189562809366,376.1895628093662,6751.2330665040345
24,2018-01-12,2018-02-09,6380.0,C,391.4,402.8,2018-02-09,P,16.1,19.7,2018-01-12,0.0131,6752.284142858629,372.2841428586289,6751.2330665040345
25,2018-01-12,2018-02-09,6390.0,C,381.9,391.4,2018-02-09,P,16.6,20.4,2018-01-12,0.0131,6751.223302957153,361.22330295715255,6751.2330665040345
26,2018-01-12,2018-02-09,6400.0,C,372.7,382.0,2018-02-09,P,17.4,21.0,2018-01-12,0.0131,6751.212463055677,351.2124630556773,6751.2330665040345
27,2018-01-12,2018-02-09,6410.0,C,364.0,372.7,2018-02-09,P,18.1,21.9,2018-01-12,0.0131,6751.401623154202,341.40162315420184,6751.2330665040345
28,2018-01-12,2018-02-09,6420.0,C,354.4,363.6,2018-02-09,P,19.0,22.7,2018-01-12,0.0131,6751.190783252726,331.19078325272585,6751.2330665040345
29,2018-01-12,2018-02-09,6425.0,C,349.8,359.0,2018-02-09,P,19.3,23.1,2018-01-12,0.0131,6751.235363301988,326.2353633019884,6751.2330665040345
30,2018-01-12,2018-02-09,6430.0,C,345.2,354.5,2018-02-09,P,20.0,23.6,2018-01-12,0.0131,6751.079943351251,321.07994335125113,6751.2330665040345
31,2018-01-12,2018-02-09,6440.0,C,336.1,345.4,2018-02-09,P,20.4,24.4,2018-01-12,0.0131,6751.369103449775,311.36910344977514,6751.2330665040345
